Type,Airline,Year,Month,Aircraft Number,Aircraft Hours,Aircraft Kilometres,Passenger Number,Passenger Kilometers,Seat Kilometers,Passenger Load Factor,Freight,Mail,Total Cargo,Passenger Tonne Kilometer,Mail Tonne Kilometer,Freight Tonne Kilometer,Total Tonne Kilometer,Available Tonne Kilometer,Weight Load Factor,Date,MarketShare
ScheduledDomestic,AIX Connect,2024,1,5158,9689.633,5223.556,802969.0,824479.344,941483.042,87.572,3252.917,268.917,3521.834,61835.951,4074.202,224.808,66134.961,104471.12,63.305,2024-01-01,3.0573913938762844
ScheduledDomestic,AIX Connect,2024,2,4933,9296.0,5015.671,768022.0,791997.592,904055.772,87.605,3125.951,256.138,3382.09,59399.819,3887.673,212.926,63500.419,100313.42,63.302,2024-02-01,3.0363067043685037
ScheduledDomestic,AIX Connect,2024,3,5074,9603.0,5198.0,769891.0,797436.0,936995.0,85.106,3252.917,268.917,3521.834,59807.0,3917.0,273.174,63997.174,103969.98,61.554,2024-03-01,2.879718881690983
ScheduledDomestic,AIX Connect,2024,4,4687,8917.1,4846.239,716857.0,749772.25,873583.38,85.827,2809.047,226.123,3035.17,56232.919,3466.507,194.144,59893.57,96924.78,61.794,2024-04-01,2.7153575502149687
ScheduledDomestic,AIX Connect,2024,5,4511,8636.3,4728.24,703339.0,740843.459,852135.126,86.94,3208.614,201.471,3410.086,74084.346,4048.841,237.017,78370.204,94564.8,82.875,2024-05-01,2.5491977304445914
ScheduledDomestic,AIX Connect,2024,6,4048,7725.8,4223.778,637860.0,674786.999,761644.692,88.596,2744.833,213.316,2958.149,67478.7,3531.604,244.511,71254.814,84475.56,84.35,2024-06-01,2.4150700736068953
ScheduledDomestic,AIX Connect,2024,7,3916,7392.45,4020.043,590023.0,621406.434,724893.594,85.724,2796.515,232.63,3029.145,62140.643,3637.159,189.55,65967.353,80400.86,82.048,2024-07-01,2.2717473792180183
ScheduledDomestic,AIX Connect,2024,8,3857,7316.5,3986.787,577347.0,607076.098,718957.8,84.438,2538.507,160.528,2699.034,60707.61,3344.212,139.374,64191.195,79735.74,80.505,2024-08-01,2.19846254948042
ScheduledDomestic,AIX Connect,2024,9,3684,7027.617,3846.924,535294.0,566013.822,693678.264,81.596,1461.365,,1461.365,56601.382,1813.054,,58414.436,76938.48,75.924,2024-09-01,2.0545029313744574
ScheduledDomestic,Air Carnival,2016,8,88,122.26,1.667,4036.0,1683.306,2567.11,65.572,0.0,0.0,0.0,133.187,0.0,0.0,133.187,245.279,54.3,2016-08-01,0.024169059818782354
ScheduledDomestic,Air Carnival,2016,9,150,153.517,1.667,6357.0,2603.822,4309.34,60.423,0.0,0.0,0.0,209.842,0.0,0.0,209.842,408.125,51.416,2016-09-01,0.03876860139693815
ScheduledDomestic,Air Carnival,2016,10,188,216.03,76.628,7708.0,3140.474,5363.96,58.548,0.0,0.0,0.0,232.88,0.0,0.0,232.88,507.26,45.909,2016-10-01,0.0446055057360435
ScheduledDomestic,Air Carnival,2016,11,194,213.066,78.956,9232.0,3758.463,5526.92,68.003,0.0,0.0,0.0,288.94,0.0,0.0,288.94,522.5,55.3,2016-11-01,0.051624470893908585
ScheduledDomestic,Air Carnival,2016,12,234,257.067,96.778,9752.0,4007.39,6802.74,58.908,0.0,0.0,0.0,306.67,0.0,0.0,306.67,626.925,48.917,2016-12-01,0.05123870838523144
ScheduledDomestic,Air Carnival,2017,1,278,315.016,116.988,11041.0,4552.54,8049.16,56.559,0.0,0.0,0.0,367.0,0.0,0.0,367.0,759.364,48.33,2017-01-01,0.05869513292897963
ScheduledDomestic,Air Carnival,2017,2,266,272.75,109.872,13629.0,5661.302,7691.04,73.609,0.0,0.0,0.0,452.908,0.0,0.0,452.908,727.62,62.245,2017-02-01,0.08019096617493386
ScheduledDomestic,Air Carnival,2017,3,280,253.15,119.14,12970.0,5376.773,8297.68,64.799,0.0,0.0,0.0,411.0,0.0,0.0,411.0,756.225,54.349,2017-03-01,0.07314225441007755
ScheduledDomestic,Air Carnival,2017,4,21,4.68,8.792,1008.0,421.368,631.6,66.714,0.0,0.0,0.0,33.0,0.0,0.0,33.0,58.0,56.897,2017-04-01,0.0056302941102543405
ScheduledDomestic,Air Costa,2015,1,1032,1150.0,695.0,65179.0,51209.0,66947.0,76.492,224.17,0.0,224.17,5012.0,255.0,0.0,5267.0,7050.0,74.709,2015-01-01,0.524255345708995
ScheduledDomestic,Air Costa,2015,2,950,1310.0,638.0,61717.0,47820.0,61398.0,77.885,262.0,0.0,262.0,4715.0,262.0,0.0,4977.0,6455.0,77.103,2015-02-01,0.5152792052358652
ScheduledDomestic,Air Costa,2015,3,1046,1432.0,700.0,61790.0,46619.0,67337.0,69.232,265.0,0.0,265.0,4591.0,305.0,0.0,4896.0,7083.0,69.123,2015-03-01,0.49425230720400537
ScheduledDomestic,Air Costa,2015,4,980,1382.0,690.0,66134.0,51417.0,66898.0,76.859,238.0,0.0,238.0,5027.0,270.0,0.0,5297.0,7028.0,75.37,2015-04-01,0.5057293923340251
ScheduledDomestic,Air Costa,2015,5,801,1221.0,629.0,61345.0,51616.0,63562.0,81.206,234.0,0.0,234.0,5038.0,275.0,0.0,5313.0,6721.0,79.051,2015-05-01,0.43218107122290517
ScheduledDomestic,Air Costa,2015,6,946,1359.0,685.0,65903.0,53277.41,67294.4,79.171,295.0,0.0,295.0,5195.08,352.15,0.0,5547.23,7071.33,78.447,2015-06-01,0.5016332404351878
