Year,Month,City1,City2,PaxToCity2,PaxFromCity2,FreightToCity2,FreightFromCity2,MailToCity2,MailFromCity2,TotalPax,TotalFreight,Route,Date
2021,12,ADAMPUR,AHMEDABAD,30.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,ADAMPUR ↔ AHMEDABAD,2021-12-01
2018,5,ADAMPUR,DELHI,2258.0,2190.0,0.0,0.86,0.0,0.0,4448.0,0.86,ADAMPUR ↔ DELHI,2018-05-01
2018,6,ADAMPUR,DELHI,1984.0,1981.0,0.0,4.33,0.0,0.0,3965.0,4.33,ADAMPUR ↔ DELHI,2018-06-01
2018,7,ADAMPUR,DELHI,2333.0,2205.0,0.0,1.93,0.0,0.0,4538.0,1.93,ADAMPUR ↔ DELHI,2018-07-01
2018,8,ADAMPUR,DELHI,2146.0,1981.0,0.0,0.48,0.0,0.0,4127.0,0.48,ADAMPUR ↔ DELHI,2018-08-01
2018,9,ADAMPUR,DELHI,2237.0,2164.0,0.0,0.61,0.0,0.0,4401.0,0.61,ADAMPUR ↔ DELHI,2018-09-01
2018,10,ADAMPUR,DELHI,2277.0,2251.0,0.0,1.35,0.0,0.0,4528.0,1.35,ADAMPUR ↔ DELHI,2018-10-01
2018,11,ADAMPUR,DELHI,2289.0,2319.0,0.0,2.96,0.0,0.0,4608.0,2.96,ADAMPUR ↔ DELHI,2018-11-01
2018,12,ADAMPUR,DELHI,2308.0,2290.0,0.0,1.17,0.0,0.0,4598.0,1.17,ADAMPUR ↔ DELHI,2018-12-01
2019,1,ADAMPUR,DELHI,2332.0,2307.0,0.0,0.96,0.0,0.0,4639.0,0.96,ADAMPUR ↔ DELHI,2019-01-01
2019,2,ADAMPUR,DELHI,2072.0,2097.0,0.0,0.43,0.0,0.0,4169.0,0.43,ADAMPUR ↔ DELHI,2019-02-01
2019,3,ADAMPUR,DELHI,2333.0,2303.0,0.0,0.75,0.0,0.0,4636.0,0.75,ADAMPUR ↔ DELHI,2019-03-01
