Year,Month,Airline,Flights,Passengers,PLF,PaxKm,MarketShare,FlightHours,Date,MonthName
2015,1,Air Costa,1032,65179.0,76.492,51209.0,0.524255345708995,1150.0,2015-01-01,Jan 2015
2015,1,Air India,8840,1104361.0,82.634,1074907.0,8.882725384595215,15537.0,2015-01-01,Jan 2015
2015,1,Air India Express,71,14633.0,84.234,9403.0,0.11769785473480299,122.0,2015-01-01,Jan 2015
2015,1,AirAsia India,598,81434.0,76.271,68778.0,0.6549994602934427,784.4,2015-01-01,Jan 2015
2015,1,Alliance Air,581,19612.0,67.261,12072.0,0.15774552908214012,895.0,2015-01-01,Jan 2015
2015,1,Go First,3947,552971.0,79.214,533961.0,4.4477209342280295,7459.0,2015-01-01,Jan 2015
2015,1,IndiGo,16280,2276404.0,85.162,2378975.0,18.30983853684989,28759.21,2015-01-01,Jan 2015
2015,1,Jet Airways,11179,1221962.0,86.96,1024836.0,9.828627483595254,17606.0,2015-01-01,Jan 2015
2015,1,JetLite,2152,277588.0,87.367,216745.0,2.232728223886045,3172.0,2015-01-01,Jan 2015
2015,1,SpiceJet,5667,587198.0,80.033,533684.627,4.723019538342572,7301.0,2015-01-01,Jan 2015
2015,1,Total Domestic,50563,6216341.0,83.611,5918413.627,50.0,83076.77,2015-01-01,Jan 2015
2015,1,Vistara,216,14999.0,45.417,13843.0,0.12064170868361307,291.16,2015-01-01,Jan 2015
2015,2,Air Costa,950,61717.0,77.885,47820.0,0.5152792052358652,1310.0,2015-02-01,Feb 2015
2015,2,Air India,7974,1010005.0,83.58,972342.0,8.432596751045095,14006.0,2015-02-01,Feb 2015
2015,2,Air India Express,63,12083.0,69.235,7728.0,0.10088174468728163,120.0,2015-02-01,Feb 2015
2015,2,AirAsia India,526,72278.0,77.852,64777.0,0.6034536739640272,725.5,2015-02-01,Feb 2015
2015,2,Alliance Air,669,22047.0,65.559,12788.0,0.18407182199126856,1003.0,2015-02-01,Feb 2015
2015,2,Go First,3545,534795.0,85.897,518968.0,4.465037875530479,6721.32,2015-02-01,Feb 2015
2015,2,IndiGo,15285,2230645.0,88.032,2311979.0,18.6237986740016,27131.57,2015-02-01,Feb 2015
2015,2,Jet Airways,10598,1186492.0,89.509,994733.0,9.906098073119436,16845.0,2015-02-01,Feb 2015
2015,2,JetLite,2057,272590.0,89.673,209149.0,2.2758714544654555,3033.0,2015-02-01,Feb 2015
2015,2,SpiceJet,4860,552726.0,85.573,490208.771,4.614744948607334,6273.0,2015-02-01,Feb 2015
2015,2,Total Domestic,46913,5988695.0,86.565,5662817.771,50.0,77742.71,2015-02-01,Feb 2015
2015,2,Vistara,386,33317.0,58.578,32325.0,0.278165777352161,574.32,2015-02-01,Feb 2015
2015,3,Air Costa,1046,61790.0,69.232,46619.0,0.49425230720400537,1432.0,2015-03-01,Mar 2015
2015,3,Air India,8804,996246.0,74.128,956765.0,7.968876582663238,15531.0,2015-03-01,Mar 2015
2015,3,Air India Express,58,8430.0,56.292,4697.0,0.06743076468246909,92.0,2015-03-01,Mar 2015
2015,3,AirAsia India,546,68790.0,71.675,62519.0,0.5502446384943118,750.5,2015-03-01,Mar 2015
