Date,Domestic (Departure Flights),Domestic (Departing Pax),Domestic (Arrival Flights),Domestic (Arriving Pax),International (Departure Flights),International (Departing Pax),Year,Month
2020-07-07,715,61512,719,60326,,,2020,7
2020-07-17,779,62975,777,62395,,,2020,7
2020-08-10,911,90777,908,89322,,,2020,8
2020-08-13,880,80192,882,78766,,,2020,8
2020-08-15,947,93639,945,89887,,,2020,8
2020-09-06,1233,141992,1238,143585,,,2020,9
2020-09-12,1298,143811,1294,143717,,,2020,9
2020-09-16,1383,116398,1376,116848,,,2020,9
2020-09-25,1488,139741,1488,141644,,,2020,9
2020-10-05,1545,165516,1544,166609,,,2020,10
2020-10-18,1521,152286,1519,151873,,,2020,10
2020-10-28,1628,160064,1623,159394,,,2020,10
2020-10-25,1589,160418,1587,159457,,,2020,10
2020-10-29,1729,187589,1724,188264,,,2020,10
2020-11-23,1911,238745,1897,238509,,,2020,11
2020-11-29,2027,252374,2028,256630,,,2020,11
2020-12-07,1897,206183,1890,209603,,,2020,12
2020-12-13,2077,223786,2072,224703,,,2020,12
2020-12-17,2114,227334,2105,226265,,,2020,12
2021-01-05,2198,223932,2206,228009,,,2021,1
2021-01-18,2091,229580,2088,226717,,,2021,1
2021-02-27,2324,278353,2317,271118,,,2021,2
2021-03-19,2330,247037,2333,249039,,,2021,3
2021-04-13,799,63425,806,61962,,,2021,4
2021-04-30,1246,122939,1250,124348,,,2021,4
2021-07-01,1339,139172,1335,141517,,,2021,7
2021-07-02,1382,143366,1392,143900,,,2021,7
2021-07-03,1436,158623,1444,158942,,,2021,7
2021-07-05,1413,147550,1415,149997,,,2021,7
2021-07-06,1307,128245,1311,129629,,,2021,7
2021-07-07,1334,138896,1337,139296,,,2021,7
2021-07-12,1414,147594,1417,149643,,,2021,7
2021-07-21,1658,156822,1658,155643,114.0,9732.0,2021,7
2021-07-22,1551,138677,1546,137278,92.0,7509.0,2021,7
2021-07-29,1565,141117,1566,141774,95.0,9629.0,2021,7
2021-07-30,1649,154761,1654,155980,137.0,11824.0,2021,7
2021-08-03,1825,207956,1834,210086,100.0,9997.0,2021,8
2021-08-04,1816,206460,1809,205582,128.0,12388.0,2021,8
2021-08-05,1823,205697,1822,207634,125.0,11940.0,2021,8
2021-08-06,1919,224780,1923,224455,149.0,14284.0,2021,8
2021-08-07,1933,236322,1924,238960,148.0,16861.0,2021,8
2021-08-09,1852,203894,1854,206642,167.0,20684.0,2021,8
2021-08-10,1799,195122,1800,196092,148.0,19135.0,2021,8
2021-08-12,1770,197804,1766,197849,170.0,22778.0,2021,8
2021-08-13,1856,219943,1855,222703,188.0,26917.0,2021,8
2021-08-14,1851,234209,1855,235178,182.0,25879.0,2021,8
2021-08-15,1842,219885,1834,213942,191.0,24732.0,2021,8
2021-08-16,1857,207122,1865,205090,190.0,25871.0,2021,8
2021-08-17,1740,183949,1745,185351,147.0,19693.0,2021,8
2021-08-18,1786,197813,1771,199547,185.0,27368.0,2021,8
2021-08-19,1747,198441,1757,199764,165.0,23655.0,2021,8
2021-08-20,1851,216094,1847,212140,211.0,28575.0,2021,8
2021-08-21,1907,222179,1902,220539,211.0,29060.0,2021,8
2021-08-22,1938,226543,1925,218708,199.0,28451.0,2021,8
2021-08-26,1728,184821,1723,181985,197.0,28702.0,2021,8
2021-08-27,1859,203865,1859,206208,207.0,30652.0,2021,8
2021-08-28,1891,218709,1889,212143,213.0,29938.0,2021,8
2021-08-29,1917,223079,1913,211414,197.0,29419.0,2021,8
2021-09-17,2059,229683,2052,229086,232.0,35053.0,2021,9
2021-09-24,2062,235792,2062,235700,241.0,36233.0,2021,9
2021-09-26,2141,269902,2132,261146,232.0,37760.0,2021,9
2021-09-27,2066,223206,2077,226470,244.0,36434.0,2021,9
2021-09-29,1971,215569,1975,215650,235.0,35314.0,2021,9
2021-10-01,2194,261139,2197,262297,253.0,38555.0,2021,10
2021-10-02,2224,269985,2214,267816,255.0,39521.0,2021,10
2021-10-03,2231,274186,2234,266582,240.0,38925.0,2021,10
2021-10-04,2190,245267,2199,250502,257.0,37718.0,2021,10
2021-10-07,2187,251971,2185,252216,232.0,34344.0,2021,10
